filename,max_confidence,waste_objects_detected
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000557_heading137.74_pitch-1.12_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000563_heading166.63_pitch-1.84_right90_square_fov90.0_640x640.jpg,0.2980915904045105,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000623_heading206.84_pitch-0.82_right90_square_fov90.0_640x640.jpg,0.4589759409427643,5
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000647_heading206.76_pitch-0.19_right90_square_fov90.0_640x640.jpg,0.36329180002212524,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000675_heading322.93_pitch-1.01_right90_square_fov90.0_640x640.jpg,0.26547375321388245,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000827_heading26.77_pitch-0.07_right90_square_fov90.0_640x640.jpg,0.26082080602645874,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000843_heading34.03_pitch-0.13_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000847_heading35.01_pitch-0.98_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000858_heading200.68_pitch1.70_right90_square_fov90.0_640x640.jpg,0.2708936333656311,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001050_heading18.36_pitch0.29_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001138_heading142.89_pitch-0.29_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001150_heading144.45_pitch0.59_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001166_heading340.43_pitch0.36_right90_square_fov90.0_640x640.jpg,0.508366584777832,3
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001170_heading323.17_pitch-0.19_right90_square_fov90.0_640x640.jpg,0.4780453145503998,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001242_heading227.08_pitch-2.08_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001264_heading144.06_pitch0.60_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001290_heading321.32_pitch0.23_right90_square_fov90.0_640x640.jpg,0.2580092251300812,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001296_heading326.89_pitch-0.19_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001326_heading212.25_pitch-0.05_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001405_heading145.89_pitch-0.25_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001449_heading129.21_pitch-0.08_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001483_heading310.36_pitch-0.02_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001515_heading319.27_pitch0.18_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001537_heading325.70_pitch-0.08_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001553_heading327.11_pitch-0.17_right90_square_fov90.0_640x640.jpg,0.2793482542037964,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001555_heading326.73_pitch0.08_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001599_heading302.00_pitch2.08_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001611_heading222.49_pitch-0.57_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001651_heading247.57_pitch0.53_right90_square_fov90.0_640x640.jpg,0.25043123960494995,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001675_heading192.29_pitch0.00_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001731_heading67.55_pitch0.10_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001741_heading132.69_pitch-0.83_right90_square_fov90.0_640x640.jpg,0.26308146119117737,2
